YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
2005/03/29 19:04:03.07  10.00   8296037 KULM     67289  452.96  204.16 -2.37 -1.60   269
2005/03/29 19:04:03.07  10.00   8296037 KGM      73203  485.11  264.13 -0.51  0.10   270
2005/03/29 21:17:07.41  27.00   7486972 IPM      73203  557.56  227.07  1.19  2.50   271
2005/03/29 21:17:07.41  27.00   7486972 KULM     67290  595.72  217.94 -0.32  1.00   272
2005/03/29 21:17:07.41  27.00   7486972 KGM      73203  672.33  260.92  0.50  1.40   273
2005/03/30 00:25:47.16  20.90   7487030 IPM      73203  556.75  227.18  1.88  2.90   274
2005/03/30 00:25:47.16  20.90   7487030 KULM     67290  594.75  218.03  0.45  1.50   275
2005/03/30 00:25:47.16  20.90   7487030 KGM      73203  672.27  261.03  2.52  3.20   276
2005/03/30 01:06:14.44  18.80   7487048 IPM      73203  572.40  229.17 -0.17  0.70   277
2005/03/30 01:06:14.44  18.80   7487048 KULM     67290  607.08  220.11 -2.09 -1.20   278
2005/03/30 01:06:14.44  18.80   7487048 KGM      73203  696.14  261.69  0.43  1.00   279
2005/03/30 01:13:15.24  25.90   7487050 IPM      73203  527.14  235.11  1.83  3.00   280
2005/03/30 01:13:15.24  25.90   7487050 KULM     67290  552.93  224.91  0.79  2.00   281
